username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Priyashil3,29-12-2016 21:35,0,3,@sundiairlifted @Riyavaya1 @VigAnchal @Sandeep01922996 @charliechuhan apko pata hoga aap kaise ho meri follower list pe,,@sundiairlifted @Riyavaya1 @VigAnchal @Sandeep01922996 @charliechuhan,,8.15E+17,https://twitter.com/Priyashil3/status/814502683767898112
Amit971985,29-12-2016 19:45,0,0,@singharti411 bashartey ki vo power me ho . mere follower pe jayada preshan na ho mam. AAP apno ka dhayaan rakho .,,@singharti411,,8.14E+17,https://twitter.com/Amit971985/status/814475023570202624
Amit971985,29-12-2016 19:42,0,0,@singharti411 or jise aap unofficial maan rhi hai . vo ek chehra hai ESE Kai hai AAP me. Apni jai jai kar karvane k koi b follower bna le.,,@singharti411,,8.14E+17,https://twitter.com/Amit971985/status/814474212572164101
ashokbandri,29-12-2016 14:53,0,0,"@the_hindu but pappu of Congress & AAP of Delhi crying he was not a bjp follower ,so arrested. This is modified/RSS stunt say didi d tigress",,@the_hindu,,8.14E+17,https://twitter.com/ashokbandri/status/814401360435113989
nimit_007,29-12-2016 12:30,0,0,Ek follower kam ho gaya aap ka https:// twitter.com/contrarianEPS/ status/814362180392992768 …,,,,8.14E+17,https://twitter.com/nimit_007/status/814365436624195585
Raaj52Raaj,29-12-2016 10:15,0,0,@sardesairajdeep ye 12 follower wala ACCOUNT aap khud create kar k khud hi sawal aur khud hi jawab to nahi dete @ishman212 Ab mee BLOCKED,,@sardesairajdeep @ishman212,,8.14E+17,https://twitter.com/Raaj52Raaj/status/814331381090238464
faheem013apr,29-12-2016 10:04,65,16,For @ArvindKejriwal जी Will donate Rs 2 for each RT & Rs 4 for each follower Current follower is 442 24 hour Want AAP in punjab #DonateAAP,,@ArvindKejriwal,#DonateAAP,8.14E+17,https://twitter.com/faheem013apr/status/814328835160363009
zubair_tarar,29-12-2016 00:24,0,0,@swidad PPP toh shaheed ho gai thi 2007 mein aur dafan ho gai 2013 mein aap jesay log bhi agar PPP ke follower hein toh Pakistan in trouble,,@swidad,,8.14E+17,https://twitter.com/zubair_tarar/status/814182676282376200
vikashvikash84,28-12-2016 22:23,0,1,@Chutkla @tinkerbell9958 new follower Aap us word k baad pic.twitter.com/Yu3rerdOOY,,@Chutkla @tinkerbell9958,,8.14E+17,https://twitter.com/vikashvikash84/status/814152425170989057
Sanghi_News,28-12-2016 22:03,0,0,"""Wellcome To New Follower "" Sanghi_News Imtiaz Ali Solangi Talhar Bhemon Kolhi, Gaon Harchand Kolhi Badin Aap K Hum ShukarGuzarHai, Editor",,,,8.14E+17,https://twitter.com/Sanghi_News/status/814147210048745472
sagarrana,28-12-2016 16:02,0,0,@reborn4thTime @RealKruti101 krutii ji ande ko like kar ke kuchh nahi hota.Bol do sab ko yeh aap ka follower kamaane ka scheme hai :),,@reborn4thTime @RealKruti101,,8.14E+17,https://twitter.com/sagarrana/status/814056316364697601
prashantpanda45,28-12-2016 12:06,0,0,@akshaykumar sir ek bar app ko samne se milna he me aap ka ek follower hun.,,@akshaykumar,,8.14E+17,https://twitter.com/prashantpanda45/status/813996998965755908
AAP_Kikhatir,27-12-2016 20:33,0,0,"@Rasoolekhuda : Dear Follower Aaj Juma Ka BaBarkat Din Hay, Isliye Ziada Se Ziada Logon Ko Targheeb Dilaen Or Khud Bhi Kasrat Se Durood Sh...",,@Rasoolekhuda,,8.14E+17,https://twitter.com/AAP_Kikhatir/status/813762315292119040
UPCM_Follower,27-12-2016 15:18,0,0,@ShurbeerBartwal @Akhilesh_DilSe @yadavakhilesh @CMOfficeUP @Kaamboltahai @UPGovt bailkul.. Aap UP Police ki madad kyu nhi lete?,,@ShurbeerBartwal @Akhilesh_DilSe @yadavakhilesh @CMOfficeUP @Kaamboltahai @UPGovt,,8.14E+17,https://twitter.com/UPCM_Follower/status/813682982909317120
snehalx80,27-12-2016 14:39,0,0,@dkumar26 @Rush_Me_Tweets tweet karo follower ki chinta mat kro. Vo Apne aap aajayege,,@dkumar26 @Rush_Me_Tweets,,8.14E+17,https://twitter.com/snehalx80/status/813673068383989761
bsc10001,26-12-2016 23:42,0,1,@ArvindKejriwal ji is the biggest follower of SBM of @narendramodi ji. See how brilliantly he cleaned the list of donors from AAP website,,@ArvindKejriwal @narendramodi,,8.13E+17,https://twitter.com/bsc10001/status/813447485288955904
malliksaab,26-12-2016 23:24,4,2,ji janab aap stud ho bhale shakal se nai follower count hi sahi . #sly,,,#sly,8.13E+17,https://twitter.com/malliksaab/status/813442873261785088
pankajjkumarr9,26-12-2016 21:34,0,0,@JagratiShukla28 @BreakiNews Anna has become opposition of aap and follower of RSS.,,@JagratiShukla28 @BreakiNews,,8.13E+17,https://twitter.com/pankajjkumarr9/status/813415226460618752
SonOfChoudhary,26-12-2016 19:41,0,0,@Frustrated_Baba wo chodd Jab aapke follower naah aaye or aap ladki ho to ye sab karna best option hai,,@Frustrated_Baba,,8.13E+17,https://twitter.com/SonOfChoudhary/status/813386678748336128
DarshuuHolics,26-12-2016 16:15,1,2,@RoyalVaruniac aare aap ko log buzy log 18k follower lekar ghumte ho.. Muje laga reply nai doge muje,,@RoyalVaruniac,,8.13E+17,https://twitter.com/DarshuuHolics/status/813334868557905921
smile_of_devil,26-12-2016 15:30,0,1,@ZeeshanHaq92 Agr aap yeh samjhte hain koi RC ka follower hay to aap ki tehreki soch ko salam koi RC k lye jan khatre main nahi dalta,,@ZeeshanHaq92,,8.13E+17,https://twitter.com/smile_of_devil/status/813323604297400321
HaqSuchNews212,26-12-2016 13:54,0,0,K follower 's se apeel hae k apne dooston ko bi sarves active krne ka mashwra dain. Aap ki apni news. Haqsuchnews2,,,,8.13E+17,https://twitter.com/HaqSuchNews212/status/813299342304014336
KSjaihind,26-12-2016 07:11,1,1,@KapilMishraAAP @ArvindKejriwal @naveenjaihind @KuldeepKadyan @ashishjainiws एक बेहतर कदम बेहतर कल के लिए Proud to be follower of AAP pic.twitter.com/dN0LA7e2py,,@KapilMishraAAP @ArvindKejriwal @naveenjaihind @KuldeepKadyan @ashishjainiws,,8.13E+17,https://twitter.com/KSjaihind/status/813197969403088896
agarwall0004,25-12-2016 23:55,0,0,@ArvindKejriwal Sir again as a well wisher and as a close follower of you and AAP I would request you to not make friends here (8/n),,@ArvindKejriwal,,8.13E+17,https://twitter.com/agarwall0004/status/813088268757528576
sameergupta84,25-12-2016 23:07,0,0,@narendramodi ji aap ke sare Follower galibaz hain.. aur kuch wo bhi jinhe ap follow karte hain.,,@narendramodi,,8.13E+17,https://twitter.com/sameergupta84/status/813076311514050560
Sahil_357,25-12-2016 18:06,2,4,@500Urvashi Doesn't Matter AAP Follower na This @BabuSaheb90 Big Big tharki @Maddy_Saheb,,@500Urvashi @BabuSaheb90 @Maddy_Saheb,,8.13E+17,https://twitter.com/Sahil_357/status/813000434260541441
500Urvashi,25-12-2016 18:03,5,6,@Sahil_357 @BabuSaheb90 is a very good AAP follower . He's my friend .,,@Sahil_357 @BabuSaheb90,,8.13E+17,https://twitter.com/500Urvashi/status/812999783832924161
DesiBanjaro,25-12-2016 13:10,0,0,"@kamaalrkhan sir AAP intne chutiya kes ho sakte ho, your dear follower",,@kamaalrkhan,,8.13E+17,https://twitter.com/DesiBanjaro/status/812926034479894528
kalia_987,25-12-2016 10:29,0,0,"@nickhunterr sir hum ne suna aap aapke sabhi follower ko aaj raat Santa ban ke sabhi dosto ko Chut dilwa rahe ho , is this true ? !",,@nickhunterr,,8.13E+17,https://twitter.com/kalia_987/status/812885514864820226
CriticalSaawan,24-12-2016 15:59,0,0,@bhaveshtaurian it's not about AAP or AAPiya . B wise citizen not blind follower . I said it bcoz I agree,,@bhaveshtaurian,,8.13E+17,https://twitter.com/CriticalSaawan/status/812606081646071812
meetdspartan,24-12-2016 12:06,0,1,Not afraid bro! Was just expecting logical comment from AAP follower and you gave biological statement https:// twitter.com/aatanksubhash1 /status/812544827002761216 …,,,,8.13E+17,https://twitter.com/meetdspartan/status/812547592596885504
arish2040,24-12-2016 09:49,1,4,"@MominNazish @khattak_tahoor congratulations: aap mujhay yaad rhen ge...coz ap first follower hain mre,, as in my knowledge",,@MominNazish @khattak_tahoor,,8.13E+17,https://twitter.com/arish2040/status/812513046119796736
punj_aap,24-12-2016 01:44,0,0,@reddy827 bhaag ja 2 follower vala bewaqoof anda,,@reddy827,,8.12E+17,https://twitter.com/punj_aap/status/812390969119305728
vikashvikash84,23-12-2016 22:30,0,1,@Chutkla e se tweet ko rt kar kar k Aaj politician ne Aap na follower increase kiya hai https:// twitter.com/the1dstage/sta tus/811968895351451648 …,,@Chutkla,,8.12E+17,https://twitter.com/vikashvikash84/status/812342009352646657
ovaisahmed236,23-12-2016 22:21,0,0,@ImranKhanPTI Allah aap ko sooch samajh k faisla karne ki taufeeq de khud bhi zalil hote hain aur follower ko bhi zalil karwaty hain,,@ImranKhanPTI,,8.12E+17,https://twitter.com/ovaisahmed236/status/812339803186405377
sab_se_pyari,23-12-2016 22:12,1,2,Aap dost kab ho na dost na follower bus janne wale ho https:// twitter.com/amg90962/statu s/812336688735416322 …,,,,8.12E+17,https://twitter.com/sab_se_pyari/status/812337544566337536
vikashvikash84,23-12-2016 16:33,0,0,@shalinietv congratulations mam Aap k 4013 follower ho gaye hai keep rocking my shalini mam,,@shalinietv,,8.12E+17,https://twitter.com/vikashvikash84/status/812252374526005252
Shaikahmedsaud5,23-12-2016 14:48,0,0,@The_Akash_Jain Is shair per haath rekhkar main aap ka sacha follower hogaya aur aap ko 6894 se 6895 bana diya,,@The_Akash_Jain,,8.12E+17,https://twitter.com/Shaikahmedsaud5/status/812225951840935937
SethiRam10,23-12-2016 12:20,0,0,@UPCM_ Follower @BJP4UP Kyu bhai ? aap kyu jal rhe hain .. agr 4 saal kaam na kiya hota to @yadavakhilesh inauguration kis cheez ka karte,,@UPCM_ @BJP4UP @yadavakhilesh,,8.12E+17,https://twitter.com/SethiRam10/status/812188725312634880
ICC_AWAZ,23-12-2016 09:42,0,0,"Assalam_O_Alaikum @ICC_AWAZ Ke All Follower 's Ko Editor M Haneef Rajar Ke Tarf Se ""%>JUMMA MUBARAK<%"" Allah Aap Sub Ko Hamesh Khush Rakhe:",,@ICC_AWAZ,,8.12E+17,https://twitter.com/ICC_AWAZ/status/812148897149644800
vivekkmr20,22-12-2016 20:53,0,0,BTW @ManishK_Chauhan ur English & logic r fantastic. I m a voter not supporter or follower of BJP or AAP @raghav_chadha @sardesairajdeep,,@ManishK_Chauhan @raghav_chadha @sardesairajdeep,,8.12E+17,https://twitter.com/vivekkmr20/status/811955335678214144
moutzindage1,22-12-2016 15:58,1,1,sub follower bhe apna birthday month dakhhai or btain aap kacaai pic.twitter.com/mWNhmmQgiH,,,,8.12E+17,https://twitter.com/moutzindage1/status/811881052763549700
_Bae_less_,22-12-2016 15:17,0,0,@Besties_buddy ab hum aa gye hai jaaaaaaaaaaaaaaani to follower apne aap aa jayege...,,@Besties_buddy,,8.12E+17,https://twitter.com/_Bae_less_/status/811870713913212928
umair1808,22-12-2016 14:11,0,3,"@SajidaBalouch G main inn ka first follower hun, inn ki puri profile chaan been ker chuka hun, kae dafa, aap to mili hi nahi :( @schizzzuka",,@SajidaBalouch @schizzzuka,,8.12E+17,https://twitter.com/umair1808/status/811854234962587648
shadow91196,22-12-2016 11:10,0,0,@_SumitMishra @AakashGauttam some are baseless but some are true I am not blind follower of AAP,,@_SumitMishra @AakashGauttam,,8.12E+17,https://twitter.com/shadow91196/status/811808672707969024
shubham5757,22-12-2016 07:26,0,0,@ashu3page @ArvindKejriwal INC is the origin of the corruption in India and the best follower of communalism now INC following AAP,,@ashu3page @ArvindKejriwal,,8.12E+17,https://twitter.com/shubham5757/status/811752299303473152
FM_101_PK,22-12-2016 00:26,0,0,"#INFO : - #Mouziz Follower 's Kuch Apni Masrufiyat Ki Wajah Sy Aap Tak News Time Sy Nhen Pohncha Saky As Liye ""Mouazrat"" - #Editor , @FM_101_PK",,@FM_101_PK,#INFO #Mouziz #Editor,8.12E+17,https://twitter.com/FM_101_PK/status/811646595108405248
HaayeAli,22-12-2016 00:24,1,1,"@Dafahojayn_ Aap bahut Cute,hainAttrective be,khubsuret Aisha@faeemkn from Europe openmind friendly Follower .",,@Dafahojayn_ @faeemkn,,8.12E+17,https://twitter.com/HaayeAli/status/811645981657825285
meazinkya,21-12-2016 09:35,0,0,Aap tino ko abhi abhi ek naya follower mila hai. @Zakirism @sapanv @HumorouslyVipul,,@Zakirism @sapanv @HumorouslyVipul,,8.11E+17,https://twitter.com/meazinkya/status/811422222644551680
