username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
mohitkugupta,2016-12-30 05:29,0,0,Social Humour: Funniest tweets on Rahul Gandhi in 2016 http:// fb.me/3lsQw85fK,,,,8.14621786738303E+017,https://twitter.com/mohitkugupta/status/814621786738302976,,
prakashsalvi55,2016-12-30 05:00,0,1,"@JhaSanjay Alec Smart, we need some serious change from the daily dose of Slapstick comedy show your cartoon RahulGandhi dishes out & U clap",,@JhaSanjay,,8.14614659361833E+017,https://twitter.com/prakashsalvi55/status/814614659361832961,,
SUBHASHCHPODDER,2016-12-30 04:55,0,0,Why you are silent about the allegation raised by Rahul Gandhi in respect to taking bribe and /or otherwise as per IT records . Spell out.,,,,8.14613265279898E+017,https://twitter.com/SUBHASHCHPODDER/status/814613265279897601,,
aparnitam,2016-12-30 04:45,0,0,"Rahul Gandhi को शायरी पड़ी भारी, Twitter पर उड़ा मज़ा https:// youtu.be/VakOmdbPqtU via @YouTube Trolling #Pappu",,@YouTube,#Pappu,8.14610720692249E+017,https://twitter.com/aparnitam/status/814610720692248576,,
1ndiaFirst,2016-12-30 04:35,0,0,@NationalistRavi Rahul Gandhi is national asset when it comes to comedy. He's left KapilSharma far behind. Hope in 2017 he brings more fun!,,@NationalistRavi,,8.14608375552102E+017,https://twitter.com/1ndiaFirst/status/814608375552102400,,
PANKAJS55740147,2016-12-30 04:25,0,0,"MR RAHUL GANDHI IS EXTREMELY WARNED NOT BEHAVE HOSTILITY AGAINST THE NATION. HE HAS CROSSED LIMIT, AND AS A RESULT PEOPLE BECAME INTORATE pic.twitter.com/MNAyoEAT3n",,,,8.14605890145895E+017,https://twitter.com/PANKAJS55740147/status/814605890145894400,,
sumitknw,2016-12-30 04:04,0,0,@maheshmurthy @vreeshen Mahesh you look like a Rahul Gandhi fan,,@maheshmurthy @vreeshen,,8.14600625249919E+017,https://twitter.com/sumitknw/status/814600625249918976,,
sumitknw,2016-12-30 04:01,0,1,@suhelseth it is because he loves Rahul Gandhi,,@suhelseth,,8.14599703065043E+017,https://twitter.com/sumitknw/status/814599703065042944,,
gagan15395921,2016-12-30 04:01,0,0,@NationalistRavi Rahul Gandhi @OfficeOfRG best comedian of Indian politics.,,@NationalistRavi @OfficeOfRG,,8.14599689270018E+017,https://twitter.com/gagan15395921/status/814599689270018048,,
Baijubawara76,2016-12-30 03:51,0,0,@sureshnakhua @Manesha76 Is this permanent tattoos. What is Rahul Gandhi become next PM ?,,@sureshnakhua @Manesha76,,8.14597353269297E+017,https://twitter.com/Baijubawara76/status/814597353269297152,,
HitenderThaku14,2016-12-30 03:49,0,0,Funny SPEECH OF RAHUL GANDHI and Mamta banergee on 27 december 2016 https:// lnkd.in/fVENerc,,,,8.14596665860649E+017,https://twitter.com/HitenderThaku14/status/814596665860648961,,
HitenderThaku14,2016-12-30 03:47,0,0,Funny SPEECH OF RAHUL GANDHI and Mamta banergee on 27 december 2016 http:// youtu.be/javRs2mW5Wo?a,,,,8.14596131913081E+017,https://twitter.com/HitenderThaku14/status/814596131913080833,,
sehiashok,2016-12-30 03:46,0,0,Wise analysis...Why So Serious? Ep 20: Is Rahul Gandhi the Fardeen Khan of Indian Politics? https:// youtu.be/I2axjl_8d-Y via @YouTube,,@YouTube,,8.14596039315456E+017,https://twitter.com/sehiashok/status/814596039315456000,,
amaan2me,2016-12-30 03:41,0,0,But priority must be given to the defamation case against Rahul Gandhi who falsely accused the PM for corruption. Here threatening won't do. https:// twitter.com/toiindianews/s tatus/814590859438002176 …,,,,8.14594771876479E+017,https://twitter.com/amaan2me/status/814594771876478976,,
facebookpages1,2016-12-30 03:21,1,0,Twitter Went Batshit Crazy Over This Photo Of Rahul Gandhi And Mamata Banerjee. #twitter http:// soco.space/-yZGoA pic.twitter.com/UucgJLe0U9,,,#twitter,8.14589576174043E+017,https://twitter.com/facebookpages1/status/814589576174043136,,
rn7514,2016-12-30 03:19,1,0,@fakesumit that's your opinion. Btw Rahul Gandhi is none of the above mentioned things... so according to you he can be our PM ?,,@fakesumit,,8.14589195263975E+017,https://twitter.com/rn7514/status/814589195263975424,,
ItsSDSharma,2016-12-30 03:15,0,0,@OfficeOfRG क्या सोच कर हम लोग आपको प्रधानमंत्री बना दें। अब तो केजरीवाल भी आपके मजे लेने लगा। #RahulGandhi #INC https:// youtu.be/beaFwi_p2no,,@OfficeOfRG,#RahulGandhi #INC,8.1458817908897E+017,https://twitter.com/ItsSDSharma/status/814588179088969728,,
shoyab09,2016-12-30 02:54,0,0,Why So Serious? Ep 20: Is Rahul Gandhi the Fardeen Khan of Indian Politics? https:// youtu.be/I2axjl_8d-Y via @YouTube,,@YouTube,,8.14582934598357E+017,https://twitter.com/shoyab09/status/814582934598356992,,
Raniraj17649869,2016-12-30 02:34,0,0,@officeofrg rahul gandhi first you answer how you and your wife kareena kapoor indiansocietys start distroying innocent decent familys.,,@officeofrg,,8.14577932274455E+017,https://twitter.com/Raniraj17649869/status/814577932274454530,,
Raniraj17649869,2016-12-30 02:26,0,0,@jayalalithaacm iam with you important information rahul gandhi wife name kareena kapoor with the help of indian society got baby,,@jayalalithaacm,,8.14575732269654E+017,https://twitter.com/Raniraj17649869/status/814575732269654016,,
mycitymychoice,2016-12-30 02:17,1,0,"Rahul Gandhi went to a restaurant http:// mycitymychoice.com/rahul-gandhi-w ent-to-a-restaurant/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #Whatsapp , #Puzzle",,,#Whatsapp #Puzzle,8.14573644907041E+017,https://twitter.com/mycitymychoice/status/814573644907040768,,
HollywoodChakma,2016-12-30 02:15,0,0,#RahulGandhi asked 5 questions on behalf of the people's of India. PM #Modi should to answer and break his silence. #RGDemands @INCIndia pic.twitter.com/KLpItg54mF,,@INCIndia,#RahulGandhi #Modi #RGDemands,8.14572973734568E+017,https://twitter.com/HollywoodChakma/status/814572973734567936,,
tpankajlion,2016-12-30 02:12,0,0,@the_hindu don't worry this time Rahul Gandhi with his full capacity in the battle ground for complete destruction of Congress party.,,@the_hindu,,8.14572371034182E+017,https://twitter.com/tpankajlion/status/814572371034181632,,
cfc424,2016-12-30 02:05,1,1,Obama is worst than INC and Rahul Gandhi https:// twitter.com/trytotakethem/ status/814566597616697344 …,,,,8.14570506976268E+017,https://twitter.com/cfc424/status/814570506976268288,,
