username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
neilhaslam90,2016-12-30 03:02,0,0,"@vaverma @YesIamSaffron I am not a BJP Follower ... nor am i am supporter, im very clear, I am an ex aapian.",,@vaverma @YesIamSaffron,,8.14584921318519E+017,https://twitter.com/neilhaslam90/status/814584921318518785,
anishathp,2016-12-29 20:33,0,0,"@narendramodi @BJP4India As a staunch BJP & NaMo follower ,I am a hurt hindu being let down by BJP #PokRefugees #BengalRiots",,@narendramodi @BJP4India,#PokRefugees #BengalRiots,8.14486965403914E+017,https://twitter.com/anishathp/status/814486965403914241,
amit_jampot,2016-12-29 16:46,0,0,"@NalinSKohli @rsprasad why centre is not raising voice against WB riots? Being follower and supporter of you and BJP , I am feeling shame.",,@NalinSKohli @rsprasad,,8.14429941328712E+017,https://twitter.com/amit_jampot/status/814429941328711680,
ashokbandri,2016-12-29 14:53,0,0,"@the_hindu but pappu of Congress & AAP of Delhi crying he was not a bjp follower ,so arrested. This is modified/RSS stunt say didi d tigress",,@the_hindu,,8.14401360435114E+017,https://twitter.com/ashokbandri/status/814401360435113989,
Amitsaksena,2016-12-29 07:42,0,0,@priyankac19 bjp mein hoti to ek follower aur add ho jata aaj...,,@priyankac19,,8.14292956756648E+017,https://twitter.com/Amitsaksena/status/814292956756647936,
sagar_wadke,2016-12-28 15:21,0,0,@BharatPolls @vixsharma1 abusing burka is d sign of Modi follower ? Gr8 thoughts. Hating antinationals is sign of BJP then we'll start follow,,@BharatPolls @vixsharma1,,8.14046190270616E+017,https://twitter.com/sagar_wadke/status/814046190270615552,
SANDEEPRAJYAN,2016-12-28 11:43,0,0,I proud to be INDIAN.... BJP voter & MODI's Follower ....,,,,8.1399117836236E+017,https://twitter.com/SANDEEPRAJYAN/status/813991178362359808,
sattothebest,2016-12-27 18:56,1,3,I 100% agree that RaGa is useless. #RahulFlopShow Bt I m nt blind follower also.I knw that BJP failed in #DeMonetisation at a broader level,,,#RahulFlopShow #DeMonetisation,8.13737925280006E+017,https://twitter.com/sattothebest/status/813737925280006144,
Shriram20Ram,2016-12-27 12:53,0,0,"@smritiirani Respective sister Ji we are blind follower of BJP , good afternoon.",,@smritiirani,,8.13646513444454E+017,https://twitter.com/Shriram20Ram/status/813646513444454400,
SNZJSR,2016-12-27 12:24,2,1,Y BJP IT Cell sending this kind of email to @AamAadmiParty follower ? statics are 100% wrong & b careful @BrightDays19 @kamaaaa6 pic.twitter.com/MxkasjzQ1d,,@AamAadmiParty @BrightDays19 @kamaaaa6,,8.13639055267299E+017,https://twitter.com/SNZJSR/status/813639055267299328,
napurkar,2016-12-26 21:56,0,0,"@arunjaitley sir, I am old BJP follower n qualified Engineer.I wish to suggest take meeting of collectors to know real facts regarding ATMs",,@arunjaitley,,8.13420772177768E+017,https://twitter.com/napurkar/status/813420772177768448,
AkhylSingh,2016-12-26 20:18,0,2,"@arunjaitley Am a staunch BJP follower , bt ur moves n comments hv cost honest tax payers dearly, losing over 12% of savings in mkt crash..!!",,@arunjaitley,,8.13395967017783E+017,https://twitter.com/AkhylSingh/status/813395967017783297,
aygaikwad,2016-12-26 18:37,0,0,The Country is Changing. The Mood of the People is changing. BJP is loosing its follower base. Fact to be noted. https:// twitter.com/navinkhaitan/s tatus/813328220548251648 …,,,,8.13370688979337E+017,https://twitter.com/aygaikwad/status/813370688979337217,
snsadvtg,2016-12-25 13:25,0,0,@BJP4India Sir I am member of bjp and also gr8 follower I need help in kanpur up,,@BJP4India,,8.12929706072928E+017,https://twitter.com/snsadvtg/status/812929706072928256,
amanboken,2016-12-25 11:36,0,0,"@ejazr Wht do you know about BJP /RSS and i m not blind follower . But is it wrong that if u hv ""some"" views in common with BJP ????",,@ejazr,,8.12902209633616E+017,https://twitter.com/amanboken/status/812902209633615872,
snsadvtg,2016-12-25 11:35,0,0,@UPbjpParty Sir my name is sanjay Tripathi and from my birth I m bjp follower,,@UPbjpParty,,8.12901942737387E+017,https://twitter.com/snsadvtg/status/812901942737387520,
amitkajalva,2016-12-25 02:21,0,0,@SonalMehra_ Lag rha hi Bjp k blind follower ho,,@SonalMehra_,,8.12762570876658E+017,https://twitter.com/amitkajalva/status/812762570876657664,
indian_gajni,2016-12-24 23:55,0,0,"@Babu_Bhaiyaa @naam_pk that time BJP was a political party bt nw it hs becm a religion with one God and million follower knw as ""Bhakt"";;@Babu_Bhaiyaa @naam_pk;;""812725878807560192",https://twitter.com/indian_gajni/status/812725878807560192,,,,,
goswamikeshav,2016-12-24 22:44,0,0,THOUGH NOT FOLLOWER OF BJP POLICIES BUT I PERSONALLY LIKE OF HER WORKING STYLE AND SHE TRIES TCASH LESS... http:// fb.me/5ShVVoZHG,,,,8.12707960006685E+017,https://twitter.com/goswamikeshav/status/812707960006684673,
AbhiVRam,2016-12-24 15:37,0,0,@Dev_Fadnavis Ashamed to be a BJP follower .. In the name of Legacy..government is pouncing on vote bank.. BJP is not different ...,,@Dev_Fadnavis,,8.12600517591302E+017,https://twitter.com/AbhiVRam/status/812600517591302144,
SwamiBangalore,2016-12-24 08:27,0,0,@rsprasad I am happy to volunteer to help BSNL or any govt org. to perform like a corporate. I am a follower of Modi and member of BJP,,@rsprasad,,8.12492286827205E+017,https://twitter.com/SwamiBangalore/status/812492286827204608,
DikshitAshish,2016-12-23 20:15,3,2,BJP was facing the ire of Marathas a few months back. Now the party is projecting itself as the real follower of Shivaji ahead of BMC polls.,,,,8.12308263433736E+017,https://twitter.com/DikshitAshish/status/812308263433736192,
RAKMAMSAR,2016-12-22 22:54,0,0,@AtishiMarlena @AamAadmiParty @Minister_Edu @msisodia @YouTube who so ever speak against u for their cause are follower of bjp .Shame shame,,@AtishiMarlena @AamAadmiParty @Minister_Edu @msisodia @YouTube,,8.11985704385266E+017,https://twitter.com/RAKMAMSAR/status/811985704385265664,
tvrkishore,2016-12-22 21:55,0,0,"@TimesNow if that is the case, why should you follow BJP footprints? U can't be selective follower",,@TimesNow,,8.11970906549416E+017,https://twitter.com/tvrkishore/status/811970906549415937,
vivekkmr20,2016-12-22 20:53,0,0,BTW @ManishK_Chauhan ur English & logic r fantastic. I m a voter not supporter or follower of BJP or AAP @raghav_chadha @sardesairajdeep,,@ManishK_Chauhan @raghav_chadha @sardesairajdeep,,8.11955335678214E+017,https://twitter.com/vivekkmr20/status/811955335678214144,
singhvikaslko,2016-12-22 12:35,0,0,"@PMOIndia @narendramodi sir I m from Lucknow uttar Pradesh n being an aggressive follower of BJP ,sir my team suggest ANUPAM KHER as CM fr UP",,@PMOIndia @narendramodi,,8.11829918816473E+017,https://twitter.com/singhvikaslko/status/811829918816473088,
007THEABHAY,2016-12-22 12:26,0,0,@AmitShah We are aggressive follower of BJP & its leadership. Pls join me as a party member. I really enhance both nation & party image.,,@AmitShah,,8.11827709747704E+017,https://twitter.com/007THEABHAY/status/811827709747703808,
neksingh98,2016-12-21 23:00,0,0,"@shadow91196 @BDUTT exactly! Anyone who doesn't like bjp or Modi, is an aaptard, pappu follower & a black money hoarder By- all Modi bhakts",,@shadow91196 @BDUTT,,8.11624928025854E+017,https://twitter.com/neksingh98/status/811624928025853952,
vicky_praveen22,2016-12-21 16:27,0,0,"I m a biggest follower of @narendramodi bt I hv a tension in my mind abt this mismanagement in#DeMonetisation, #BJP could be pay in election",,@narendramodi,#DeMonetisation #BJP,8.11525997594112E+017,https://twitter.com/vicky_praveen22/status/811525997594112000,
MargoobH,2016-12-21 12:46,0,0,@sardesairajdeep u r correct sir i little incident happen at my house between 2 drunker!they speared riots in #WB ZeeNews and bjp follower,,@sardesairajdeep,#WB,8.11470492959809E+017,https://twitter.com/MargoobH/status/811470492959809536,
sanjeev_yahoo,2016-12-21 08:30,0,0,@narendramodi_in @narendramodi after demonetization if poor people will not get any benefit then BJP will be out permanently.RSS follower,,@narendramodi_in @narendramodi,,8.11406012280226E+017,https://twitter.com/sanjeev_yahoo/status/811406012280225792,
americai,2016-12-20 22:16,0,2,"BJP MP Parvesh Verma, has reportedly said that Muslims do not vote for the party as it is patriotic; Like @BJP4India leader like follower",,@BJP4India,,8.11251422436074E+017,https://twitter.com/americai/status/811251422436073472,
congressiIndian,2016-12-20 21:39,0,0,@priyankac19 really what an amazing Ans mam you have given to BJP spokesperson feeling proud to being your follower,,@priyankac19,,8.1124200217618E+017,https://twitter.com/congressiIndian/status/811242002176180224,
imgautamAk,2016-12-20 21:20,0,0,@aajtak BJP k honge ya SP k.... Gunde to sab partiyo me hai par inke to follower bhi gundo se kam nhi,,@aajtak,,8.1123734323141E+017,https://twitter.com/imgautamAk/status/811237343231410176,
