username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
chinmay_231082,2016-12-29 21:51,0,0,"@Shehzad_Ind u proved all follower of Pappu is a Pappu @sureshnakhua meant ""as nobody is joining Congress social media exec become Spokies"";;@Shehzad_Ind @sureshnakhua;;""814506547040559105",https://twitter.com/chinmay_231082/status/814506547040559105,,,,,,
VidushiMathur3,2016-12-29 19:29,0,1,@parveenfaruqi8 @sanjaynirupam Congress mein hokar bhi yeh baat kehna kafi himmat ki baat h.True RaGa follower .,,@parveenfaruqi8 @sanjaynirupam,,8.14470980982731E+017,https://twitter.com/VidushiMathur3/status/814470980982730756,,
ashokbandri,2016-12-29 14:53,0,0,"@the_hindu but pappu of Congress & AAP of Delhi crying he was not a bjp follower ,so arrested. This is modified/RSS stunt say didi d tigress",,@the_hindu,,8.14401360435114E+017,https://twitter.com/ashokbandri/status/814401360435113989,,
crHapa,2016-12-29 10:44,0,1,"I plan to support @ApplegateCA49 for Congress in 2018. We need to dump Trump follower Darrell Issa! https://www. google.com/amp/www.sandie gouniontribune.com/news/politics/sd-me-applegate-announce-20161129-story,amp.html …",,@ApplegateCA49,,8.14338820976112E+017,https://twitter.com/crHapa/status/814338820976111617,,
rameshfilms,2016-12-29 09:46,0,1,@rupasubramanya I am no Congress supporter nor Modi bhakt. Go with issues unlike you who seem to have become blind follower . Disappointing,,@rupasubramanya,,8.14324064894403E+017,https://twitter.com/rameshfilms/status/814324064894402560,,
Joe_Schmucc,2016-12-29 03:54,0,1,@laurenbgood yeah my ATX follower says that about South Congress too. And yes SA Riverwalk is super touristy.,,@laurenbgood,,8.14235579097358E+017,https://twitter.com/Joe_Schmucc/status/814235579097358337,,
ratnakar_shetty,2016-12-28 20:11,0,0,@navarajacse @sureshpprabhu don't b blind follower of Congress . U r frustrated man n paid by Congress it seems. So u r f complainng for all,,@navarajacse @sureshpprabhu,,8.14118961885381E+017,https://twitter.com/ratnakar_shetty/status/814118961885380608,,
NavnitAnand5,2016-12-28 08:35,0,0,"@RealArnabG , Congress is the root cause and 3rd option is follower to do so,nothing much difference between 2nd and 3rd option",,@RealArnabG,,8.13944045198307E+017,https://twitter.com/NavnitAnand5/status/813944045198307328,,
futureicon,2016-12-28 02:21,0,0,@realDonaldTrump @POTUS The viewing of this video should be mandatory for every member of Congress . Barack H.Obama is a follower of Islam https:// twitter.com/JVER1/status/8 13478765795962890 …,,@realDonaldTrump @POTUS,,8.13849884617044E+017,https://twitter.com/futureicon/status/813849884617043968,,
abuwalidtt,2016-12-27 19:05,0,0,@Stevenwhirsch99 u r a Trump follower ? Then LGBT rights are going to be pushed thru Congress & Senate soon? Correct?,,@Stevenwhirsch99,,8.13740181006205E+017,https://twitter.com/abuwalidtt/status/813740181006204928,,
USbreastfeeding,2016-12-27 09:00,0,2,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.13587712175469E+017,https://twitter.com/USbreastfeeding/status/813587712175468545,,
USbreastfeeding,2016-12-26 09:00,0,0,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.13225324599243E+017,https://twitter.com/USbreastfeeding/status/813225324599242756,,
prashantt_21,2016-12-25 10:21,0,2,@Swamy39 That lutyen mole may have been a creation of none other than @arunjaitley who has been a follower of congress culture in politics.,,@Swamy39 @arunjaitley,,8.12883476823286E+017,https://twitter.com/prashantt_21/status/812883476823285760,,
USbreastfeeding,2016-12-25 09:00,0,1,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.1286293733766E+017,https://twitter.com/USbreastfeeding/status/812862937337659392,,
GabbarSanghi,2016-12-25 08:56,3,1,"Inspite of being a devout follower of Gandhi, Malaviya Ji was strongly opposed to Congress taking part in that Khilafat movement.",,,,8.12862092407472E+017,https://twitter.com/GabbarSanghi/status/812862092407472128,,
Congress_pen,2016-12-23 23:34,0,0,"New day, new tweets, new stats. 1 follower , 0 unfollowers. Via good old http://www. crowdfireapp.com/?r=td",,,,8.12358297500156E+017,https://twitter.com/Congress_pen/status/812358297500155905,,
USbreastfeeding,2016-12-23 09:00,1,1,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.12138162369741E+017,https://twitter.com/USbreastfeeding/status/812138162369740801,,
ashwani_vijay_p,2016-12-21 22:04,0,0,"#RahulExposesCorruptModi responsible politicians should act like a leader , not being like a follower , congress should review earthquake. pic.twitter.com/o8WhAx68ho",,,#RahulExposesCorruptModi,8.11610771058627E+017,https://twitter.com/ashwani_vijay_p/status/811610771058626560,,
samchina007,2016-12-21 19:27,0,0,@RTforINC tere se jayada to mere follower hai kya haal ho gaya hai congress ke leaders ka. Tumari to puri tarah fat gayi hai.,,@RTforINC,,8.11571222387552E+017,https://twitter.com/samchina007/status/811571222387552256,,
abdulkadir_IYC,2016-12-21 14:33,0,0,RT sanjaynirupam: Wow ! He is following Congress in letter & spirit. Our true follower ! https:// twitter.com/bjp4india/stat us/811070613221539840 … pic.twitter.com/SnCK6yYCci,,,,8.11497324929237E+017,https://twitter.com/abdulkadir_IYC/status/811497324929236992,,
sanjaynirupam,2016-12-21 14:15,65,72,Wow ! He is following Congress in letter & spirit. Our true follower ! https:// twitter.com/bjp4india/stat us/811070613221539840 …,,,,8.11492709181497E+017,https://twitter.com/sanjaynirupam/status/811492709181497344,,
cric_SKB,2016-12-20 10:08,0,0,@priyankac19 @IndianExpress very sad.. y'day Salman khursheed had RTed abuse to a non congress follower 's daughter.. comments Ma'am?,,@priyankac19 @IndianExpress,,8.11068106550415E+017,https://twitter.com/cric_SKB/status/811068106550415360,,
USbreastfeeding,2016-12-20 09:00,1,1,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.11051000396128E+017,https://twitter.com/USbreastfeeding/status/811051000396128257,,
sorabh_luthra,2016-12-20 01:16,0,0,Most sick pm India has ever seen @narendramodi being a great follower I will vote for congress,,@narendramodi,,8.10934419347292E+017,https://twitter.com/sorabh_luthra/status/810934419347292160,,
pintukumar0202,2016-12-19 20:14,0,0,@News18India @awasthis Congress always supported foreign mlechha..either yavani jihadi or vetican city follower .. @pradeepjain52,,@News18India @awasthis @pradeepjain52,,8.10858399453839E+017,https://twitter.com/pintukumar0202/status/810858399453839361,,
