username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,
3NovicesHyd,2016-12-30 05:21,0,0,"#3Novices : Breaking on Twitter: Won’t fight Punjab elections, Kejriwal tweets to Amarinder December 30, 2016 at 05:12AM …",,,#3Novices,8.14619802887225E+017,https://twitter.com/3NovicesHyd/status/814619802887225344,,,
fakeadmiparty,2016-12-30 05:16,0,0,@AamAadmiParty Kejriwal also took in modi in varnasi and lost deposit,,@AamAadmiParty,,8.1461853844702E+017,https://twitter.com/fakeadmiparty/status/814618538447020032,,,
harsahibs92,2016-12-30 05:16,0,0,@ArvindKejriwal @capt_amarinder Sir Kejriwal capt is escapist he befooled people of ASR in last election. He will fight from safe seat,,@ArvindKejriwal @capt_amarinder,,8.14618513952281E+017,https://twitter.com/harsahibs92/status/814618513952280577,,,
iamaknaik,2016-12-30 05:13,0,0,@SamiaSaif1 @lopa9999 @rohan4747 BIGBOSS became so unfair!I thought he quit the job and kejriwal became new bigboss,,@SamiaSaif1 @lopa9999 @rohan4747,,8.14617774337225E+017,https://twitter.com/iamaknaik/status/814617774337224704,,,
nirmalshahbjp,2016-12-30 05:12,0,0,Funny Reaction on ARVIND KEJRIWAL 'S Phone Call http:// fb.me/14BxahfNR,,,,8.14617725263839E+017,https://twitter.com/nirmalshahbjp/status/814617725263839232,,,
ajit_1910,2016-12-30 05:04,1,1,"@ArvindKejriwal @capt_amarinder kejriwal just talks he is not accepting challenge of yogendra yadav , captain Amarinder #HolloWMaN",,@ArvindKejriwal @capt_amarinder,#HolloWMaN,8.14615712417333E+017,https://twitter.com/ajit_1910/status/814615712417333248,,,
RanjanK01040706,2016-12-30 05:03,0,0,@SushmaAnand89 @Bsharma7 AAP Kejriwal,,@SushmaAnand89 @Bsharma7,,8.1461537851725E+017,https://twitter.com/RanjanK01040706/status/814615378517250049,,,
patel_raaajesh,2016-12-30 05:02,0,0,@KejriwaIFanClub All options are for kejriwal ... .. duffer..aaptards...,,@KejriwaIFanClub,,8.14615181380743E+017,https://twitter.com/patel_raaajesh/status/814615181380743169,,,
DiliDM,2016-12-30 05:01,0,0,@ndtv wts.the use of this news you will still praise Mr. Kejriwal as he is not in Delhi & thus he is not responsible.,,@ndtv,,8.14614846780113E+017,https://twitter.com/DiliDM/status/814614846780112896,,,
SDhilon,2016-12-30 04:56,0,0,#भाग_ Kejriwal _भाग pic.twitter.com/D5MkSaTY5F,,,#,8.14613657208443E+017,https://twitter.com/SDhilon/status/814613657208442884,,,
SDhilon,2016-12-30 04:56,0,0,#भाग_ Kejriwal _भाग pic.twitter.com/Q2VCtGcj9z,,,#,8.14613529147937E+017,https://twitter.com/SDhilon/status/814613529147936769,,,
RanjanK01040706,2016-12-30 04:56,0,0,"@manjari__ Mamta, Kejriwal , papu,maya, sab k sab Bharat maa k upr atyachar kr rahi hai,jese Nehru k sath hua inlogon ke sath wese hi hoga",,@manjari__,,8.1461349118942E+017,https://twitter.com/RanjanK01040706/status/814613491189420032,,,
